song_name,song_release,song_artist
Ten Thousand Fists (Album Version),The Complete Studio Albums,Disturbed
Mi Princesa,Mi Princesa,Gondwana
Killing In The Name,Rage Against The Machine / Evil Empire (Coffret 2 CD),Rage Against The Machine
Moar Ghosts 'n' Stuff,Ghosts 'n' Stuff,Deadmau5
Revelry,Only By The Night,Kings Of Leon
Teach Me How To Dougie,Teach Me How To Dougie,California Swag District
Marry Me,Save Me_ San Francisco,Train
Empire State Of Mind (Part II) Broken Down,Empire State Of Mind (Part II) Broken Down,Alicia Keys
Paper Planes,Decent Work For Decent Pay,M.I.A.
Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus
Drops Of Jupiter,Drops Of Jupiter,Train
Du soleil au coeur,Les indispensables,Céline Dion
Use Somebody,Use Somebody,Kings Of Leon
Whatcha Say,Whatcha Say,Jason Derulo
König der Löwen,Weiter,Dynamite Deluxe
Everlong,The Colour And The Shape (Special Edition),Foo Fighters
Higher Ground,Original Album Classics,Marcus Miller
Bad Company,War Is The Answer,Five Finger Death Punch
One,...And Justice For All,Metallica
Last Exit,Vitalogy,Pearl Jam
White Guilt,Five Pillars of Soul,John Wilkes Booze
miserabile visu {ex malo bonum},New Surrender,Anberlin
Sehr kosmisch,Musik von Harmonia,Harmonia
My Way Home Is Through You [B-Side],Famous Last Words,My Chemical Romance
Helena (So Long & Goodnight) (Album Version),Three Cheers For Sweet Revenge,My Chemical Romance
Kill All Your Friends [B-Side],The Black Parade [Deluxe Version],My Chemical Romance
I'm Not Okay (I Promise) (Live From Sessions@AOL),Life On The Murder Scene,My Chemical Romance
Alejandro,The Fame Monster,Lady GaGa
The Jetset Life Is Gonna Kill You (Album Version),Three Cheers For Sweet Revenge,My Chemical Romance
Soft Skeletons,New Surrender,Anberlin
Retrace,New Surrender,Anberlin
Cubicles,I Brought You My Bullets_ You Brought Me Your Love,My Chemical Romance
Skylines And Turnstiles,I Brought You My Bullets_ You Brought Me Your Love,My Chemical Romance
STARSTRUKK [FEATURINGKATYPERRY] (Explicit Bonus Version),WANT,3OH!3
Harder Better Faster Stronger,Discovery,Daft Punk
Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas
Hey_ Soul Sister,Save Me_ San Francisco,Train
DONTTRUSTME [BENNYBLANCOREMIX] FEATURINGKIDCUDI (Explicit Bonus Version),WANT,3OH!3
Hey There Delilah,Now That's What I Call Music! 68,Plain White T's
Billionaire [feat. Bruno Mars]  (Explicit Album Version),Billionaire [feat. Bruno Mars],Travie McCoy
In The End (Album Version),Hybrid Theory,Linkin Park
OMG,OMG - The Remixes,Usher featuring will.i.am
Fireworks (Album),Stop,Plain White T S
Such Great Heights,Grey's Anatomy Original Soundtrack,The Postal Service
TTHHEE PPAARRTTYY,Justice,Justice
One Minute To Midnight,Justice,Justice
Neon Knights,The Looks,MSTRKRFT
The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses
Gonna Make You Love Me,Gold,Ryan Adams
Anything,Blue,Third Eye Blind
So You Say You Lost Your Baby,The Best Of,Death In Vegas
That Golden Rule,NME The Album 2009,Biffy Clyro
Superfresh,Oi Oi oi,Boys Noize
Run With the Wolves,Invaders Must Die,The Prodigy
On the Flip of a Coin,Tout ce qui brille (Bande originale du film),The Streets
Necro Hex Blues,Beautiful Future,Primal Scream
No One's Gonna Love You (Album),Cease to Begin,Band Of Horses
Superfast Jellyfish (Feat. Gruff Rhys and De La Soul),Plastic Beach,Gorillaz
Responsible Stu,One Ten Hundred Thousand Million,Octopus Project
The Pulse,LP,Holy Fuck
Out There On The Ice,In Ghost Colours,Cut Copy
Is There a Ghost (Album),Cease to Begin,Band Of Horses
Six Feet Up,One Ten Hundred Thousand Million,Octopus Project
Runnin' Wild (Album Version),Runnin' Wild,Airbourne
Faxing Berlin,Random Album Title ,Deadmau5
Use Somebody,Use Somebody,Kings Of Leon
Strangers In The Wind,In Ghost Colours,Cut Copy
Marry Song (Album),Cease to Begin,Band Of Horses
Scorpio Rising,The Best Of,Death In Vegas
Lovely Allen,LP,Holy Fuck
Roll Right,Evil Empire,Rage Against The Machine
You Could Ruin My Day,Pause,Four Tet
Good Love Is On The Way,Where The Light Is: John Mayer Live In Los Angeles,John Mayer
Losing Touch,Day & Age,The Killers
Day 'N' Nite,R&B Yearbook,Kid Cudi Vs Crookers
River In The Rain,All Time Greatest Hits,Roger Miller
Kingdom Of Doom,Kingdom Of Doom,The Good_ The Bad and The Queen
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner
Ruby_ Don't Take Your Love To Town,Sawdust,The Killers
Sex And Violence,Loud And Out Of Tune,Lower Class Brats
Sehr kosmisch,Musik von Harmonia,Harmonia
Why Do I Keep Counting?,Sam's Town,The Killers
All The Pretty Faces,When You  Were Young,The Killers
Leave The Bourbon On The Shelf,Sawdust,The Killers
Blood In Blood Out,TIP,Young Buck
Let It Ride,The Anthology,Bachman-Turner Overdrive
Om We Rembwe Ike,One Love (2nd Edition),Dr. Alban
Jesus Is Just Alright,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers
My Immortal (Album Version),Fallen,Evanescence
Lucille,Greatest Hits,Kenny Rogers
Smile Like You Mean It,Hot Fuss,The Killers
Drunk,Confide In Me,Kylie Minogue
Here we go Again,A Book Like This,Angus & Julia Stone
Night Boat To Cairo,Complete Madness,Madness
I Never Go Around Mirrors,True Country,Lefty Frizzell
Love Is Gone (Original Mix),Pop Life,David Guetta - Joachim Garraud - Chris Willis
Let Me Think About It,Now That's What I Call Music! 68,Ida Corr Vs Fedde Le Grand
Love Is Not A Fight,Worth Fighting For,Warren Barfield
Human,Just Dance,The Killers
Walking On Sunshine,This Is... 1985,Katrina & The Waves
Take Me In Your Arms (Rock Me A Little While),Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers
Listen To The Music,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers
I'm No Stranger To The Rain,Don't Close Your Eyes,Keith Whitley
Run into My Arms,Round Two,J. Holiday
I C Love Affair,Disco Discharge. Euro Disco,Gaz Nevada
Only In Dreams,Weezer,Weezer
I Can't Stay,Day & Age,The Killers
Generation Of Love,Dancecore,Rocco
Mississippi Kan Vänta,Det Är Så Jag Säger Det,Håkan Hellström
My List,Sam's Town,The Killers
Romeo And Juliet,Sawdust,The Killers
When You Were Young,When You  Were Young,The Killers
Walk-Don't Run,Greatest Instrumentals of the Rock Era - 50 Hit Songs,The Ventures
Come On Over (All I Want Is You),Christina Aguilera/Stripped,Christina Aguilera
Right Now (Album Version),Danity Kane,Danity Kane
She Wants To Move,Original Hits - Rap & Soul,N.E.R.D.
Remember Me,Truth Serum,Steed Lord
Wait A Minute,Wait A Minute,Lack Of Afro
Mind Of A Killer,The Worst,Tech N9ne
Feel The Heat,Truth Serum,Steed Lord
Call Me Up,Fancy Footwork,Chromeo
Angelina,The Promise,Il Divo
Your Love,Fever,Kylie Minogue
Press Pause (Album Version),Danity Kane,Danity Kane
If It's Alright,A Little More Personal (RAW),Lindsay Lohan
Genie In A Bottle,Christina Aguilera,Christina Aguilera
Ride For You (Album Version),Danity Kane,Danity Kane
Mesmerized,The First Lady,Faith Evans
Autosleeper,Best Of,Chapterhouse
Hold Me Down (Album Version),Danity Kane,Danity Kane
Munspelsdåren,Lev som en gris dö som en hund,Markus Krunegård
When It's Over (Mission Of Mercy Album Version),Mission Of Mercy,DeGarmo & Key
One Shot (Album Version),Danity Kane,Danity Kane
You And Me Jesus,Tribute To Jake Hess,Jake Hess
Natural's Not In It,Gang of Four Hit Pac - 5 Series,Gang Of Four
Fascination,Drive Time Anthems,Alphabeat
100°,Howl Howl Gaff Gaff,Shout Out Louds
Recess,Hullabaloo Soundtrack,Muse
The Equalizer,In The Morning,Junior Boys
The Mop,Night Piece,Shugo Tokumaru
Undo,Vespertine Live,Björk
Losing Touch,Day & Age,The Killers
Olio,Echoes,The Rapture
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine
Words,The Best Of Missing Persons,Missing Persons
Gotta Reason (Album Version),Stars Of CCTV,Hard-FI
All We Are,Dreaming Out Loud,OneRepublic
Lovely Head,Felt Mountain,Goldfrapp
God (Album Version),Popaganda,Head Automatica
Missing Persons 1 & 2,Waking Up,OneRepublic
Happy House (Original),Happy House,The Juan MacLean
Decades Of Despair,Aren´t You Dead Yet?,Carnal Forge
Us V Them,Sound Of Silver,LCD Soundsystem
Year 3000,Busted,Busted
I Crush Everything,Best.  Concert.  Ever.,Jonathan Coulton
I Get Around (Midnight Juggernauts remix),Kitsuné Maison Compilation 4,Dragonette
Shake Your Coconuts,d-d-don't don't stop the beat,Junior Senior
Dragon Queen,It's Blitz!,Yeah Yeah Yeahs
U.R.A Fever,Midnight Boom,The Kills
Tones Of Home,Blind Melon,Blind Melon
Crack Pipes,Anticon Label Sampler 1999 - 2004,Sage Francis
Don't Leave Me,The All-American Rejects,The All-American Rejects
Ether (Album Version),Champion,The Audition
Attention,Consolers Of The Lonely,The Raconteurs
Christmas Is My Favorite Time Of The Year,Heartbeat Christmas,Kenny Rogers
Lonesome Loser,Rearranged,Little River Band
The Other Side of Mt. Heart Attack,Drums Not Dead,Liars
Lost In The Plot,No Cities Left,The Dears
Push Comes To Shove (Album Version),Fair Warning,Van Halen
Disco Friends,Overtones,Just Jack
If I Can't Have You,Girls Triple Set,Yvonne Elliman
She Had The World (Album Version),Pretty. Odd.,Panic At The Disco
House Of Jealous Lovers,Rock Hits Workout 2 119bpm - 152bpm,The Rapture
Dub On My Mind Dub,Bunny Lee Presents the Late Great King Tubby: The Legacy,King Tubby
(Theme From) Carjack Fever (Album Version),King James Version,Harvey Danger
Somebody To Shove,Black Gold: The Best Of Soul Asylum,Soul Asylum
We Are Not Going to Make It,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,The Presidents of the United States of America
Right Where We Left Off,Not Without A Fight,New Found Glory
As Above So Below,Myths Of The Near Future,Klaxons
You Can Have It All,Employment (Ecopac),Kaiser Chiefs
What It's For,Begone Dull Care,Junior Boys
Bellona,Last Exit,Junior Boys
Big Munny,One Man Band Man,Swizz Beatz
Cambridge (Album Version),I Am The Movie,Motion City Soundtrack
Trouble,Bluff City,Compulsive Gamblers
Silent Shout,Silent Shout,The Knife
Middle Of Nowhere (Album Version),Elevator,Hot Hot Heat
Fairytale Of New York,Fairytale Of New York (Single),Stars
Flagpole Sitta,Scooby-Doo 2: Monsters Unleashed,Harvey Danger
Hold On,Made In The Dark,Hot Chip
Tive Sim,Nova Bis-Cartola,Cartola
Mistreater,Once Bitten,Great White
Top Of The World,Move Along,The All-American Rejects
Little Man,EZ  - Essential Garage Collection,Sia
Sehr kosmisch,Musik von Harmonia,Harmonia
Hungry,When The Children Cry - Greatest Hits,White Lion
Teach Me How To Fight,Last Exit,Junior Boys
Hitched,Keep On Your Mean Side,The Kills
She Crawls Away (LP Version),Fairweather Johnson,Hootie And The Blowfish
Miss Sobriety (Album Version),Rotation,Cute Is What We Aim For
I Want You Back,Sweet Children O'Mine,Shione Yukawa
Freaks (Album Version),While You Were Out,Soul Asylum
Ruby_ Don't Take Your Love To Town,Wheels EP,Cake
We Can Work It Out,Five Man Acoustical Jam,Tesla
Destination Calabria,Ministry of Sound Presents The Singles Volume 2,Alex Gaudino Feat. Crystal Waters
It's Showtime! (Album Version),A Little Ain't Enough,David Lee Roth
Feels So Good (Remastered Single Version),The Best Of Both Worlds,Van Halen
Anybody Wanna Take Me Home,Rock N Roll,Ryan Adams
Demasiado Bueno,Te Seguiré,Edgar Oceransky
Palm Reader,Out Of The Vein,Third Eye Blind
Love And War (11/11/46) (Album Version),More Adventurous,Rilo Kiley
Make It Rain (Album Version),Champion,The Audition
Mädchen Und Rabauken,Fliegende Fische,Pohlmann.
Tell Me About Your Day,Mind How You Go,Skye
Twilight Galaxy,Fantasies,Metric
Money Straight (Explicit Album Version),The Real Testament [Deluxe],Plies
Carry Me In Your Dreams (Albania),Eurovision Song Contest 2009,Kejsi Tola
Boy Meets Girl,d-d-don't don't stop the beat,Junior Senior
The Devil,Pieces Of The People We Love,The Rapture
Rid Of Me,Rid Of Me,PJ Harvey
Forty Or Fifty,Pocket Full Of Kryptonite,Spin Doctors
We Share Our Mothers' Health (Album Version),Silent Shout,The Knife
A Certain Association,Last Exit,Junior Boys
How Much Love,Rev It Up!,Vixen
Complicated,Second First Impression,Daniel Bedingfield
Living In The Moment,Century Spring,Mason Jennings
Ain't Looking For Love,Big Ones,Loverboy
Scarecrows On A Killer Slant,Sisterworld,Liars
Crow Waltz,Hello Love,The Be Good Tanyas
A Man/Me/Then Jim (Album Version),More Adventurous,Rilo Kiley
Drive Away,The All American Rejects,The All-American Rejects
Urusan Seri Paduka Baginda,Urusan Seri Paduka Baginda,Butterfingers
Unpredictable,Noise From The Basement,Skye Sweetnam
Hazy Shade Of Winter,We Are The 80's,Bangles
Freak Train,Childish Prodigy,Kurt Vile
Superstition,Keep On Your Mean Side,The Kills
Jump (For My Love),Get The Party Started: Essential Pop and Dance Anthems,The Pointer Sisters
Lewis Takes Off His Shirt,Heartland,Owen Pallett
Morning Song,Family,Le Loup
Get Down Tonight,Very Best Of,KC And The Sunshine Band
Monster Love (Live Acoustic Version),Caravan Girl (EP),Goldfrapp
Bang Bang (Balls Of Fire) (LP Version),Midnite Dynamite,Kix
Everlasting Love,Hits Of The 60's,Love Affair
Freedumb,Freedump,Suicidal Tendencies
On Bended Knee,End Of The Road Hit Pac,Boyz II Men
Keli Richards,New Miserable Experience,Gin Blossoms
Suburban Knights [DJ Wrongtom's Delight],Suburban Knights,Hard-FI
Girl U Want (Live),Q: Are We Not Men?  A: We Are Devo / Devo Live,Devo
Someone's Missing,Congratulations,MGMT
The Fever,From The Carpet,The Academy Is...
Down Fo' Boogie,Five Man Acoustical Jam,Tesla
Smile,Smile,Telepopmusik
Lay It Down (2007 Remastered),Tell The World: The Very Best Of Ratt,Ratt
Innocent When You Dream (78),Franks Wild Years,Tom Waits
Black Mission Goggles,Six Demon Bag,Man Man
Right Brigade,Live at CBGB 1982,Bad Brains
Don't Be On With Her,Bravado (Ep),Miami Horror
Nanny Nanny Boo Boo,This Island,Le Tigre
Listen To Your Body Tonight,Partie Traumatic,Black Kids
Tied Up Too Tight (Album Version),Stars Of CCTV,Hard-FI
Who Am I,Tim's Bio,Timbaland & Magoo
Mrs Thompson,Always Where I Need To Be,The Kooks
Lost,One Of The Boys,Katy Perry
Tired Of Being Sorry,Insomniac,Enrique Iglesias
Signs,Gold,Tesla
All Men Are Liars,Quiet Please... The New Best Of Nick Lowe,Nick Lowe
Bulletproof,Bulletproof,La Roux
Live And Let Die,Use Your Illusion,Guns N' Roses
FM,So This Is Goodbye,Junior Boys
Irreplaceable,Irreplaceable,Beyoncé
Beautiful Friday,Damned If I Don't,Andru Donalds
Talk Me Out Of Tampa,III,Joe Nichols
Don't Leave,Insomnia - The Best Of,Faithless
Black Stacey,Saul Williams,Saul Williams
In Liverpool,RetroSpective: The Best Of Suzanne Vega,Suzanne Vega
Sometimes (Hook N Sling Remix),Sometimes (Remixed),Miami Horror
Heaven Must Be Missing An Angel,Capitol Gold: The Best Of Tavares,Tavares
Feltham Is Singing Out (Album Version),Stars Of CCTV,Hard-FI
Proper Education,Ministry of Sound Presents The Singles Volume 2,Eric Prydz vs Floyd
Breathin Out,Constant Hitmaker,Kurt Vile
Whistle For Will,Made In The Dark,Hot Chip
Again Again,The Fame Monster,Lady GaGa
Darkness,Blue,Third Eye Blind
Back Porch,Pure Frosting,The Presidents of the United States of America
I Heard Love Is Blind,Frank,Amy Winehouse
Lookin' Out My Back Door,The Singles Collection,Creedence Clearwater Revival
All I Have (Album Version),Hook Me Up,The Veronicas
Do You Wanna Dance,Let's Have A Rock 'N' Roll Party - 36 Rockin' Greats,Bobby Freeman
Goodnight Bad Morning,Midnight Boom,The Kills
Get Innocuous!,Sound Of Silver,LCD Soundsystem
Black And White,Best Of The IRS Years,The dB's
Love Alive,Greatest Hits,Heart
This Island,This Island,Le Tigre
A Boy Like Me,Children Of Mu,Patrick Wolf
What Do I Get (John Peel Show 7th Sep 1977),Another Music In A Different Kitchen (Special Edition),Buzzcocks
We Want War,Hidden,These New Puritans
Shoot It (Album Version),A Little Ain't Enough,David Lee Roth
Addicted,Back To Black,Amy Winehouse
Go East,Family,Le Loup
Never Gonna Fly,The World We Live In,Radney Foster
White Heat,Ignition,John Waite
My Love For You Is Real,Easy Tiger,Ryan Adams
C'Mon,d-d-don't don't stop the beat,Junior Senior
In the Musicals,Selma Songs,Björk
Frases Mudas,El Abrazo Del Erizo,Mikel Erentxun
Pull,Nico,Blind Melon
One Way Ticket [Radio Edit],One Way Ticket,The Darkness
Fallen Hero,Rev It Up!,Vixen
Sometimes,Sometimes,Miami Horror
I Believed You,The Best Of Racey,Racey
That's That,Dropping The Writ,Cass McCombs
The Runner,Because Of The Times,Kings Of Leon
If I Never See Your Face Again,Call And Response: The Remix Album,Maroon 5 / Cross
We Don't Stop (Explicit),My Balls And My Word (Explicit),Young Bleed
In Person,Doll Domination 3.0,The Pussycat Dolls
Jam 4 U,Whut? The Album,Redman
Your Pleasure_ My Pain,Brood Of Vipers,Seventh Star
Touch Too Much,Made In The Dark,Hot Chip
Don't Dance,Made In The Dark,Hot Chip
One By One,Two,The Calling
Horses,Chinatown,The Be Good Tanyas
Shadow Rider,Ready To Strike,King Kobra
Pump Action Paddy,Holloway Boulevard,The Popes
Shake A Tail Feather,Chicken Little Original Soundtrack (English Version),The Cheetah Girls
On The Verge,This Island,Le Tigre
Q-Ball,Season Of Da Siccness,Brotha Lynch Hung
Sharada,Noise From The Basement,Skye Sweetnam
Only This Moment (Röyksopps Forsiktige Massasje),Only This Moment,Röyksopp
Galang,Arular,M.I.A.
Retirement,Yours Truly_ Angry Mob,Kaiser Chiefs
The Way,Second First Impression,Daniel Bedingfield
Sing It Back,Complete Chillout,Moloko
Lady (Hear Me Tonight),Modjo,Modjo
Wrestlers,Made In The Dark,Hot Chip
Red-Split,Early Violence,Psychic Ills
Spaceman,Spaceman,The Killers
Tiger Bomb,Freaked Out And Small,The Presidents of the United States of America
Amory,Cavalier,Tom Brosseau
Neuromancer,Cyberpunk,Billy Idol
Ambling Alp (Memory Tapes Remix),Ambling Alp,Yeasayer
The Stomp,Barely Legal,The Hives
Kiss My Sass [feat. Travis McCoy of Gym Class Heroes] (Album Version),¡Viva La Cobra!,Cobra Starship
Helen Of Troy,Immolate Yourself,Telefon Tel Aviv
First Gear,Pieces Of The People We Love,The Rapture
I Shall Overcome (Album Version),Once Upon A Time In The West,Hard-FI
The Vanishing,Heart,Stars
The Only Difference Between Martyrdom and Suicide Is Press Coverage (Tommie Sunshine Brooklyn Fire Remix),Snakes On A Plane [OST],Panic! At The Disco
On The Road,Jazz Profile: Art Pepper,Art Pepper
No Good 4 You,Look Inside,Cherise
Shortwave,Love Everybody,The Presidents of the United States of America
This Is Your Life,Day & Age,The Killers
Bubble Toes,Brushfire Fairytales,Jack Johnson
Childhood Remembered,Embracing The Wind,Kevin Kern
Smothered (Album Version),Self-Destructive Pattern,Spineshank
Street Flash,Water Curses,Animal Collective
You're Not Alone,Massive R&B Spring 2010,Tinchy Stryder
Revelry,Only By The Night,Kings Of Leon
Teenage Crush,50 Rock 'N' Roll Worlwide Number Ones,Tommy Sands
Little Of Your Time,It Won't Be Soon Before Long,Maroon 5
Zero,Lamb,Lamb
Disco Queen,Hot Chocolate - The Essential Collection,Hot Chocolate
Mount Nebo (For Every Heart Album Version),For Every Heart,Twila Paris
Bellevue,Bravado (Ep),Miami Horror
I'm Sleeping In A Submarine,EP,Arcade Fire
The Bottom Line (Album Version),Skyscraper,David Lee Roth
Don't Know What You Got (Till It's Gone),True Rock (3 CD Set),Cinderella
Fireworks,New Miserable Experience,Gin Blossoms
